Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Renaldo Balkman,,2.8,2.6,1.3,0.3,0.1,0,NA,NA
Tom Tolbert,93.0,2.7,2.5,1.3,0.1,0,0,0,NA
Tyrone Nesby,88.0,3.1,2.9,1.3,0.3,NA,NA,NA,NA
Bruce Seals,87.5,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
Kenny Williams,85.6,2.7,2.4,1.6,0.7,NA,NA,NA,NA
Cal Christensen,83.9,3.2,2.9,1.7,0.4,0,NA,NA,NA
Shabazz Muhammad,83.9,2.7,2.7,2,0.7,0.3,NA,NA,NA
Mark Strickland,83.4,2.8,2.2,1,0.6,0.5,0,0,0
Joey Graham,79.5,3,2.2,1.3,1.1,0.3,0,NA,NA
Brady Walker,78.7,2.8,1.9,1.2,1,NA,NA,NA,NA
Chuck Terry,78.6,2.3,2.1,1.2,0.7,0.1,NA,NA,NA
