Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Voshon Lenard,,7.1,6.8,4,3.5,3,2.4,1.7,0.9,0.3,0.1,-0.1,NA
Jim Cleamons,87.8,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,NA,NA,NA
Johnny Moore,86.0,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA,NA,NA
Travis Best,85.7,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,NA,NA
Scott Skiles,85.7,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2,NA,NA
Bobby Phills,85.6,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1,NA,NA,NA
Bonzi Wells,85.0,6,5.9,4,3.4,3.1,3.1,3,0.9,0.1,-0.1,NA,NA
Lester Conner,84.2,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5,0.3,0
Dee Brown,83.9,6.8,6.4,6.4,3.5,3.4,2.5,2.4,1,0.8,0.3,0.2,-0.3
Flynn Robinson,83.9,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA,NA
Raja Bell,83.6,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1
