,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1975-76,18,ARIZONAST,27,461,74,161,,,20,28,,117,,,,,,168,.460,,.714,17.1,6.2,4.3,
1976-77,19,ARIZONAST,28,762,158,346,,,56,80,,207,,,,,,372,.457,,.700,27.2,13.3,7.4,
1977-78,20,ARIZONAST,27,746,156,333,,,63,83,,235,,,,,,375,.468,,.759,27.6,13.9,8.7,
1978-79,21,ARIZONAST,30,814,154,324,,,57,73,,277,,,,,,365,.475,,.781,27.1,12.2,9.2,
Career,,,112,2783,542,1164,,,196,264,,836,,,,,,1280,.466,,.742,24.8,11.4,7.5,
