,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,22,MIL,NBA,,1,5,,,,,2,2,,,2,1,,,2,4
1971-72,23,INA,ABA,,3,,1,,,,2,5,,,,,,,,7
Career,,,TOT,,3,,,,,,2,5,,,,,,,,7
,,,NBA,,1,5,,,,,2,2,,,2,1,,,2,4
,,,ABA,,3,,1,,,,2,5,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,
1 Season,,INA,ABA,,3,,1,,,,2,5,,,,,,,,7
1 Season,,MIL,NBA,,1,5,,,,,2,2,,,2,1,,,2,4
