,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2001-02,23,SAC,NBA,PG,16,661,61%,39%,,,,+4.1,+7.4,19,13,11,3,25,0,180,3,15
2002-03,24,SAC,NBA,PG,12,404,61%,39%,,,,+1.6,-2.3,6,7,14,2,10,0,135,2,7
2003-04,25,SAC,NBA,PG,12,497,100%,,,,,+2.6,+16.1,20,11,18,4,20,0,179,2,16
2004-05,26,SAC,NBA,PG,5,200,100%,,,,,-6.0,-4.6,8,3,2,2,8,0,72,1,5
2005-06,27,SAC,NBA,PG,6,255,100%,,,,,-6.7,+27.6,12,2,6,4,12,2,66,1,4
2007-08,29,ATL,NBA,PG,7,252,100%,,,,,-12.8,+6.5,8,4,7,1,7,2,47,0,2
2008-09,30,ATL,NBA,PG,11,390,100%,,,,,-6.8,+8.9,14,5,12,5,5,8,101,2,3
2009-10,31,ATL,NBA,PG,11,292,100%,,,,,-2.5,+13.1,10,2,11,0,3,3,59,0,3
2010-11,32,MIA,NBA,PG,20,415,100%,,,,,-6.3,-15.6,13,2,13,1,0,2,50,0,0
2011-12,33,NYK,NBA,PG,5,118,100%,,,,,-8.8,+15.1,2,1,3,0,1,2,27,0,1
Career,,,NBA,,105,3484,88%,12%,,,,-2.4,+6.4,112,50,97,22,91,19,916,11,56
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SAC,NBA,,51,2017,79%,21%,,,,+0.9,+8.9,65,36,51,15,75,2,632,9,47
3 seasons,,ATL,NBA,,29,934,100%,,,,,-7.1,+9.6,32,11,30,6,15,13,207,2,8
1 season,,MIA,NBA,,20,415,100%,,,,,-6.3,-15.6,13,2,13,1,0,2,50,0,0
1 season,,NYK,NBA,,5,118,100%,,,,,-8.8,+15.1,2,1,3,0,1,2,27,0,1
