Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mark Hendrickson,,0.9,0.8,0.3,0.1
Cartier Martin,90.4,0.8,0.7,0.4,0.1
Timothé Luwawu-Cabarrot,85.2,0.8,0.8,0.2,NA
Eddie Lee Wilkins,79.3,0.8,0.8,0.3,-0.1
Ben McDonald,75.4,1.3,0.7,0.3,0.2
Jerrod Mustaf,75.3,0.8,0.5,0.4,0
Loren Woods,75.0,1.1,0.7,0.5,0.4
James Michael McAdoo,74.9,1.1,0.8,0.5,0
Randy White,74.0,0.8,0.7,0.4,-0.2
Tom Kozelko,73.8,1,0.7,0.7,NA
Michael Ruffin,73.4,1,0.6,0.2,0
