Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Sidney Wicks,,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,NA
Charles Smith,91.0,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9,0,NA,NA
Tristan Thompson,88.8,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA,NA
Raef LaFrentz,87.0,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2,NA
Kenneth Faried,86.7,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA
Frank Ramsey,86.6,10,7.3,6.5,5.9,5.3,4,3.6,3.3,3.2,NA,NA
Cincinnatus Powell,86.3,8.1,7,6.8,6.4,5.4,4.3,3,0.1,NA,NA,NA
Jamal Mashburn,85.9,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2
Wil Jones,85.8,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA
Chris Mills,85.2,8.9,7.8,5.4,5.1,4,3,1.9,1.2,0.3,0.1,NA
Jim McMillian,85.0,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA,NA
