Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,POR,NBA,PF,1,0,10:00,2,5,0.4,NA,NA,NA,0,0,NA,NA,2,0,NA,NA,NA,3,4
1972-73,23,POR,NBA,PF,1,1,24:00,4,10,0.4,NA,NA,NA,5,5,1,NA,5,1,NA,NA,NA,2,13
1973-74,24,POR,NBA,PF,1,0,24:00,5,6,0.833,NA,NA,NA,6,10,0.6,1,1,1,2,0,NA,4,16
1974-75,25,POR,NBA,PF,1,0,23:00,7,19,0.368,NA,NA,NA,2,3,0.667,4,9,1,0,1,NA,1,16
Career,NA,,NBA,,4,1,81,18,40,0.45,NA,NA,NA,13,18,0.722,5,17,3,2,1,NA,10,49
