Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Dana Barros,,12.7,5.6,5.6,4.7,3.6,3.5,3.4,2.5,2.4,2.3,1.8,1,0.5,0.1,NA,NA,NA,NA
Wesley Person,82.4,10.3,6.9,5.2,4,3.8,3.7,3.3,2.6,1.6,1.3,1.2,NA,NA,NA,NA,NA,NA,NA
Kendall Gill,82.1,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4,NA,NA,NA
Kirk Hinrich,80.4,10.1,7.6,7.2,4.1,4,3.8,3.6,3.1,3,2.6,1.8,1,0.6,NA,NA,NA,NA,NA
Eric Snow,80.0,8.4,6.1,5.5,5.5,3.8,3.8,2.8,2.1,1.9,1.9,1.3,0.5,-0.1,NA,NA,NA,NA,NA
Jalen Rose,79.3,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5,0.6,NA,NA,NA,NA,NA
Don Buse,78.8,10.6,7.1,6,5.4,4.7,4.6,4.6,4.4,2.6,2.2,2,1.7,1.3,NA,NA,NA,NA,NA
Jerry Stackhouse,78.1,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.9,0.4,0.3,0.2,0,-0.4
J.R. Smith,77.9,6.7,5.8,5.5,5,3.7,3.7,3.7,3.7,2.7,2.5,1.4,1.2,0.8,0.2,-0.2,NA,NA,NA
Monta Ellis,77.7,9,6,4.9,4.6,4.3,4,3.6,2.6,1.3,1.1,0.5,0.2,NA,NA,NA,NA,NA,NA
Derek Anderson,77.0,9.9,8.1,5.3,5.3,3.6,3.3,2.9,2.1,1.6,1.3,0.3,NA,NA,NA,NA,NA,NA,NA
