Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
John Kuester,,1.9,0.1,0,NA,NA
Travis Mays,83.0,2.1,0.3,0,NA,NA
Cliff Barker,79.3,2.2,0.1,-0.2,NA,NA
Bernard Robinson,74.6,1.7,0.3,0.1,NA,NA
Ticky Burden,68.5,2.6,0,0,NA,NA
Stan Noszka,68.0,1.8,0.4,-0.2,NA,NA
Trajan Langdon,67.8,2,0.6,0.3,NA,NA
Jerry Eaves,67.5,2,0.7,0,-0.1,NA
Mark Davis,67.2,2.3,0.2,-0.1,-0.1,-0.1
Danuel House,66.7,2.3,0.6,0,NA,NA
Stephen Vacendak,66.6,2.2,0.1,-0.4,NA,NA
