,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2003-04,24,MIN,NBA,PG,33,391,100%,,,,,-6.2,-13.6,16,7,14,3,18,0,124,1,3
2004-05,25,UTA,NBA,PG,53,1382,92%,8%,,,,-4.5,+1.0,60,21,66,14,56,0,503,13,28
2005-06,26,UTA,NBA,PG,66,1232,100%,,,,,-5.7,-3.5,32,15,54,20,44,19,324,4,11
2006-07,27,TOT,NBA,PG,48,718,86%,14%,,,,-2.3,-0.6,27,11,26,1,26,13,204,3,6
2006-07,27,GSW,NBA,PG,26,379,89%,11%,,,,-0.9,-0.4,11,7,12,0,17,8,101,1,2
2006-07,27,IND,NBA,PG,22,339,83%,17%,,,,-4.0,-1.1,16,4,14,1,9,5,103,2,4
Career,,,NBA,,200,3723,94%,6%,,,,-4.6,-2.3,135,54,160,38,144,32,1155,21,48
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,UTA,NBA,,119,2614,96%,4%,,,,-5.0,-1.1,92,36,120,34,100,19,827,17,39
1 season,,MIN,NBA,,33,391,100%,,,,,-6.2,-13.6,16,7,14,3,18,0,124,1,3
1 season,,GSW,NBA,,26,379,89%,11%,,,,-0.9,-0.4,11,7,12,0,17,8,101,1,2
1 season,,IND,NBA,,22,339,83%,17%,,,,-4.0,-1.1,16,4,14,1,9,5,103,2,4
