Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Keith McLeod,,0.8,0.6,0.3,0.2,NA,NA
JaKarr Sampson,82.3,0.8,0.6,0.5,0.1,NA,NA
Shawn Respert,76.3,0.8,0.7,0.5,0.1,NA,NA
Kris Dunn,74.5,0.9,0.6,0.1,NA,NA,NA
Tracy Moore,74.3,0.6,0.5,0.3,0.3,0.1,NA
Zoran Planinić,73.4,0.8,0.7,0.1,NA,NA,NA
Pearl Washington,73.4,0.7,0.7,0.5,NA,NA,NA
Brooks Thompson,71.5,1.1,0.6,0.2,0.1,NA,NA
Gerald Glass,70.7,0.9,0.5,0.3,0.1,NA,NA
Pace Mannion,68.5,0.9,0.4,0.3,0.2,0,-0.2
Greg Graham,67.8,0.8,0.3,0.3,0.1,-0.1,NA
