Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Billy Schaeffer,,1.9,0.8,0.5,NA,NA,NA
Joe Kopicki,89.4,1.9,0.9,0.7,NA,NA,NA
Joey Dorsey,87.9,1.9,0.8,0.1,0,NA,NA
Hank Whitney,86.4,1.8,1.1,0.5,NA,NA,NA
Ron Bonham,84.2,1.8,0.7,0.2,NA,NA,NA
Keith Lee,82.2,1.9,1.1,0.8,NA,NA,NA
Bill Bunting,82.0,2,0.7,0,NA,NA,NA
Stanley Johnson,81.6,1.8,0.6,0.5,0.4,NA,NA
Linton Johnson,80.5,1.9,0.4,0.4,0,0,0
Chris McNealy,79.8,1.6,0.8,0.2,NA,NA,NA
Bernard Thompson,79.8,2.1,0.9,0.2,0.1,0,NA
