Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Goran Dragić,,10.3,7.5,6.8,5.7,5.3,5.1,4.7,2.8,1.6,1,0.1
José Calderón,90.5,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4,3.7,0.9,0.9
Tom Gola,90.2,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,NA
Sleepy Floyd,89.9,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1,0.9
Andy Phillip,89.5,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,NA
Muggsy Bogues,89.4,8.6,6.7,6.4,5.9,5,4.8,4.8,2.6,2.3,1.7,0
Michael Adams,89.1,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1
Jeff Teague,89.1,8.1,7.7,6.1,6,5.9,5.2,4.9,2.2,1.7,0.6,NA
Norm Nixon,89.0,9.6,6.7,6.6,5.5,5.4,4.5,3.9,3.7,2,-0.4,NA
Cuttino Mobley,88.8,8.2,7.6,6.9,5.7,5.3,5.2,4.6,4.4,2.3,2.1,-0.1
Brian Taylor,88.6,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA
