Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1969-70,22,DLC,ABA,NA,8,NA,51,6,15,0.4,0,0,NA,6,15,0.4,0.4,1,6,0.167,2,2,4,2,8,16,13
Career,NA,,ABA,NA,8,NA,51,6,15,0.4,0,0,NA,6,15,0.4,0.4,1,6,0.167,2,2,4,2,8,16,13
