Season,Team,Lg,Salary
1984-85,Dallas Mavericks,NBA,"$500,000"
1985-86,Dallas Mavericks,NBA,"$585,000"
1987-88,Dallas Mavericks,NBA,"$755,000"
1988-89,Dallas Mavericks,NBA,"$755,000"
1990-91,Los Angeles Lakers,NBA,"$1,970,000"
1991-92,Los Angeles Lakers,NBA,"$2,507,000"
1992-93,Los Angeles Lakers,NBA,"$3,047,000"
1993-94,Seattle SuperSonics,NBA,"$3,587,000"
1994-95,Seattle SuperSonics,NBA,"$4,126,600"
1995-96,Seattle SuperSonics,NBA,"$3,967,000"
1996-97,Seattle SuperSonics,NBA,"$2,730,000"
1997-98,Seattle SuperSonics,NBA,"$3,370,000"
1998-99,Indiana Pacers,NBA,"$1,785,000"
1999-00,Indiana Pacers,NBA,"$1,925,000"
2000-01,Indiana Pacers,NBA,"$2,250,000"
Career,(may be incomplete),,"$33,859,600"
