Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Stephen Howard,,1.3,0.2,0.1,0
Jackie Butler,87.7,1.2,0.1,0.1,NA
Dwayne Jones,86.0,1.2,0.1,0.1,0
Qyntel Woods,85.2,1.3,0.2,0,-0.2
Damjan Rudež,83.8,1.3,0.1,0.1,NA
Michael Bradley,83.6,1.5,0.2,0.1,0
Brian Evans,81.4,1.5,0.1,0.1,NA
Mark Pope,80.0,1.3,0.1,0,-0.1
Perry Jones,79.6,1.5,0.2,0,NA
Viktor Khryapa,76.8,1.3,0.4,0.3,0
Winston Bennett,76.3,1.1,0.3,0.2,NA
