Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Stephen Howard,,1.3,0.2,0.1,0,NA,NA
Jackie Butler,87.7,1.2,0.1,0.1,NA,NA,NA
Qyntel Woods,85.2,1.3,0.2,0,-0.2,NA,NA
Damjan Rudež,83.8,1.3,0.1,0.1,NA,NA,NA
Dwayne Jones,83.2,1.2,0.1,0.1,0,0,NA
Brian Evans,81.4,1.5,0.1,0.1,NA,NA,NA
Perry Jones,79.6,1.5,0.2,0,NA,NA,NA
Mark Pope,78.4,1.3,0.1,0,0,-0.1,-0.1
Viktor Khryapa,76.8,1.3,0.4,0.3,0,NA,NA
Winston Bennett,76.3,1.1,0.3,0.2,NA,NA,NA
Michael Bradley,75.1,1.5,0.2,0.1,0.1,0,NA
