Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jack Haley,,2.2,0.4,0.3,0.2,0.1,0,0,0,-0.3
George Johnson,71.1,2.4,0.3,0.2,0.1,NA,NA,NA,NA,NA
Sean Williams,66.5,2.5,0.4,0.3,-0.2,NA,NA,NA,NA,NA
Evan Eschmeyer,65.7,2.5,0.7,0.5,0.2,NA,NA,NA,NA,NA
Deyonta Davis,64.0,2.7,0.5,0.4,NA,NA,NA,NA,NA,NA
Chris Anstey,61.4,1.9,0.6,0.3,NA,NA,NA,NA,NA,NA
Melvin Ely,59.9,2,0.8,0.6,0.4,0.3,0.1,0,-0.1,-0.3
Dave Hoppen,58.7,2.6,0.8,0.2,0,0,-0.1,NA,NA,NA
Michael Stewart,57.9,3,0.7,0.2,0.2,0.2,0.1,0.1,0.1,NA
Hasheem Thabeet,48.2,2.2,2,0.3,0.3,0,NA,NA,NA,NA
John Shasky,46.5,1.9,0.7,-0.1,NA,NA,NA,NA,NA,NA
