,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2001-02,20,UTA,NBA,41:58,4,8,0,3,4,7,7,10,2,5,6,3,3,5,3,4,15,17.5
2002-03,21,UTA,NBA,33:09,6,9,1,4,6,9,10,12,3,4,6,3,2,3,2,2,17,16.5
2006-07,25,UTA,NBA,41:17,8,18,1,2,8,16,8,8,6,9,15,5,3,7,5,6,21,24.6
2007-08,26,UTA,NBA,40:22,8,13,2,3,7,12,7,9,4,6,8,5,4,5,4,6,21,20.2
2008-09,27,UTA,NBA,35:21,7,15,1,2,7,14,6,6,4,4,8,4,4,1,2,2,15,11.8
2009-10,28,UTA,NBA,17:02,4,7,0,1,4,7,1,1,3,3,6,0,1,1,0,1,8,9.0
2013-14,32,BRK,NBA,25:50,2,3,0,0,2,3,3,4,3,3,5,2,4,2,2,4,6,8.7
Career,,,,41:58,8,18,2,4,8,16,10,12,6,9,15,5,4,7,5,6,21,24.6
6 Seasons,,UTA,NBA,41:58,8,18,2,4,8,16,10,12,6,9,15,5,4,7,5,6,21,24.6
1 Season,,BRK,NBA,25:50,2,3,0,0,2,3,3,4,3,3,5,2,4,2,2,4,6,8.7
