,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,25,TOR,NBA,SG,24,280,.476,8.6,.952,.500,.071,.071,.310,.048,.475,.619,.667,.000,.308,.500,.421,.095,4,.000,.000,,0,0
2002-03,26,TOT,NBA,SG,53,559,.364,12.1,.909,.373,.082,.109,.345,.091,.390,.537,.222,.333,.289,.100,.410,.018,2,1.000,.200,.000,4,0
2002-03,26,TOR,NBA,SG,24,286,.309,12.7,.868,.353,.118,.118,.279,.132,.339,.458,.125,.500,.211,.111,.300,.015,1,1.000,.222,.000,3,0
2002-03,26,ATL,NBA,SG,29,273,.452,11.1,.976,.405,.024,.095,.452,.024,.463,.647,1.000,.000,.368,.000,.526,.024,1,,.000,,1,0
2004-05,28,NYK,NBA,SG,21,230,.515,11.8,.939,.364,.030,.121,.424,.061,.548,.833,.000,.500,.357,.000,.412,.000,0,,.000,,0,0
2005-06,29,MIL,NBA,PG,30,202,.423,11.6,.846,.346,.115,.269,.115,.154,.455,.333,.667,.429,.667,.250,.700,.000,0,.000,.250,1.000,0,0
Career,,,NBA,,128,1271,.417,11.3,.915,.393,.076,.123,.322,.085,.440,.578,.375,.346,.324,.167,.447,.028,6,.333,.167,.333,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,TOR,NBA,,48,566,.373,11.1,.900,.409,.100,.100,.291,.100,.394,.533,.273,.364,.250,.182,.359,.045,5,.500,.182,.000,3,0
1 season,,MIL,NBA,,30,202,.423,11.6,.846,.346,.115,.269,.115,.154,.455,.333,.667,.429,.667,.250,.700,.000,0,.000,.250,1.000,0,0
1 season,,ATL,NBA,,29,273,.452,11.1,.976,.405,.024,.095,.452,.024,.463,.647,1.000,.000,.368,.000,.526,.024,1,,.000,,1,0
1 season,,NYK,NBA,,21,230,.515,11.8,.939,.364,.030,.121,.424,.061,.548,.833,.000,.500,.357,.000,.412,.000,0,,.000,,0,0
