Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jermaine Jackson,,0.6,0.2,0.2,0.2,-0.2
Archie Goodwin,64.1,0.7,0.2,0.2,0.1,NA
Greg Graham,61.5,0.8,0.3,0.3,0.1,-0.1
Corey Gaines,60.0,0.6,0.3,0.2,0.1,-0.1
Pace Mannion,53.4,0.9,0.4,0.3,0.2,-0.2
Connie Norman,52.8,0.8,0.2,0.2,NA,NA
Tracy Moore,46.3,0.6,0.5,0.3,0.3,0.1
Keith McLeod,44.1,0.8,0.6,0.3,0.2,NA
Gus Bailey,42.3,0.5,0.2,0.2,0,0
Terry Duerod,40.7,0.7,0.2,0.2,-0.2,NA
Mario West,39.4,0.5,0.4,0.3,0.2,NA
