Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Courtney Alexander,,2.2,1.1,0.8,NA,NA,NA
Kevin O'Shea,89.6,2.1,1.2,0.5,NA,NA,NA
Chink Crossin,88.9,2.1,1.2,0.5,NA,NA,NA
Corky Devlin,87.7,1.8,1.2,0.8,NA,NA,NA
David Nwaba,87.2,2.4,1.4,0.8,NA,NA,NA
Dirk Minniefield,86.5,1.9,1.1,1.1,NA,NA,NA
Ian Clark,86.3,2.3,1.1,0.9,0.2,-0.1,-0.1
Kenny Higgs,86.2,2.2,1.5,1,NA,NA,NA
A.J. Price,85.8,2.2,1.2,0.7,0.3,0.3,0
Steven Kramer,84.8,1.9,1.2,1.1,NA,NA,NA
Mike Davis,82.4,2.2,1.2,0.9,0.6,NA,NA
