Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
John Shumate,,7.7,6.5,6.3,3.5,0.5
Michael Cage,90.7,7.2,6.7,6.7,3.2,1.7
Danilo Gallinari,89.8,7.2,6.1,5.6,3.9,1
Ersan İlyasova,89.5,6.7,6.4,5.8,3.8,1
Dwight Powell,89.3,7.5,6.6,4.6,3.1,0.6
Jerome Kersey,88.6,8.6,6.8,6.4,3.6,2.2
Antawn Jamison,88.5,8.5,6.7,6.4,2.3,1.4
Clifford Robinson,87.4,7.5,6.8,4.6,4.2,0.3
Alex English,87.3,8.3,7,5.3,4,1.2
Sonny Parker,87.3,7,6.8,6.2,3,2.3
Ryan Anderson,86.5,8.9,6.5,6.4,3.1,2.5
