Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
John Shumate,,7.7,6.5,6.3,3.5,0.5,NA,NA,NA
Dwight Powell,89.3,7.5,6.6,4.6,3.1,0.6,NA,NA,NA
Julian Hammond,85.7,6.7,6.6,5.7,5.1,0.8,NA,NA,NA
Reggie King,84.5,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA
Sonny Parker,82.4,7,6.8,6.2,3,2.3,1.6,NA,NA
Clark Kellogg,82.3,7,6.8,6.1,0.9,0.1,NA,NA,NA
Joe Ingles,81.5,7.6,6,5,2.3,2.2,NA,NA,NA
Chandler Parsons,78.7,7.6,7,5.5,4.3,3.4,1.1,0.2,0
Donald Sidle,77.7,9.7,5.9,5.6,1.9,NA,NA,NA,NA
Leo Mogus,77.5,8,7.7,5,1.2,NA,NA,NA,NA
Fred Schaus,76.9,8.5,8.4,6.8,4,3.7,NA,NA,NA
