Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Sean Williams,,2.5,0.4,0.3,-0.2,NA,NA,NA,NA,NA
Deyonta Davis,84.6,2.7,0.5,0.4,NA,NA,NA,NA,NA,NA
George Johnson,80.8,2.4,0.3,0.2,0.1,NA,NA,NA,NA,NA
Dave Hoppen,78.6,2.6,0.8,0.2,0,0,-0.1,NA,NA,NA
Evan Eschmeyer,73.7,2.5,0.7,0.5,0.2,NA,NA,NA,NA,NA
Chris Anstey,68.5,1.9,0.6,0.3,NA,NA,NA,NA,NA,NA
Jack Haley,66.5,2.2,0.4,0.3,0.2,0.1,0,0,0,-0.3
Michael Stewart,61.2,3,0.7,0.2,0.2,0.2,0.1,0.1,0.1,NA
LaRue Martin,55.7,1.9,0.4,0.1,-0.4,NA,NA,NA,NA,NA
John Shasky,54.2,1.9,0.7,-0.1,NA,NA,NA,NA,NA,NA
Gustavo Ayón,50.3,3.2,1.2,0.7,NA,NA,NA,NA,NA,NA
