Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Nerlens Noel,,4.3,4,4,3,1.3
Clemon Johnson,94.7,4.3,4,3.7,3.5,1.2
Elden Campbell,90.1,4.2,3.8,3.3,2.6,1.1
Eddy Curry,89.7,4.3,3.5,3.3,3,1.8
Bob Ferry,88.9,4.9,3.9,3.1,2.7,1.4
Jason Collins,88.7,4.9,4.7,3.9,3,2
Jon Koncak,88.4,3.7,3.7,3.7,2.3,1.4
Lloyd Neal,87.6,4.8,4.7,4.3,2.9,1.8
Walter Dukes,87.4,4.2,3.9,3.2,2.8,2.4
Mark Eaton,86.5,5.4,4,3.7,3.6,0.8
Steve Johnson,86.0,4.9,4.4,4.4,3.1,2.4
