Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Buck Johnson,,6.2,4.6,3.6,2.3,2.1,1.2,0.7
Alan Henderson,92.0,6,4.3,3.1,2,1.9,1.3,0.7
Chris Wilcox,90.7,6,4.4,3.4,2.6,1.3,1.1,0.6
Bingo Smith,89.2,6.1,4.2,3.7,3.3,2.4,1.6,1.1
Brandan Wright,88.2,6.1,5.1,4.1,3.5,1.9,1.1,0.8
Markieff Morris,88.0,6.4,4.6,4.1,3.3,1.7,1.5,0.5
John Williams,88.0,6.9,5,3.5,1.9,1.3,1,0.8
Dick Schnittker,87.8,6.2,5.3,3.5,2.8,2.6,1.6,NA
Adam Keefe,87.2,6.5,4.6,4.1,3.3,2.3,1.7,1.4
Ronald Franz,87.0,5.9,3.7,3.3,2.2,2.1,0.9,NA
Andrés Nocioni,86.7,6.7,4.1,3.3,2.8,2.5,1.3,1.3
