Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Buck Johnson,,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA
Bison Dele,88.4,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA
Dick Schnittker,87.8,6.2,5.3,3.5,2.8,2.6,1.6,NA,NA,NA,NA,NA
Ronald Franz,87.0,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA,NA,NA
John Williams,86.3,6.9,5,3.5,1.9,1.3,1,0.8,-0.5,NA,NA,NA
Pervis Ellison,86.1,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0
Andrés Nocioni,86.1,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA,NA,NA
Adam Keefe,84.5,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA
Markieff Morris,84.4,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA
Robert Covington,84.1,6.1,4,3.1,2.5,2,0.1,NA,NA,NA,NA,NA
Donald Royal,84.1,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA
