Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1974-75,23,SEA,NBA,PF,75,NA,2280,7.5,15.4,0.489,2.1,2.9,0.722,2.7,6.9,9.5,3.3,1.3,0.5,5.8,17.2,NA,NA,99
1975-76,24,SEA,NBA,PF,66,NA,2139,8.2,17.3,0.474,2.6,3.5,0.746,2.3,6,8.3,4.2,1.6,0.8,5.4,19,NA,NA,99
1976-77,25,TOT,NBA,PF,83,NA,1639,7.1,16.3,0.436,3.3,4.4,0.747,2.3,5.8,8.1,3.4,1.6,0.9,7.5,17.5,NA,NA,99
1976-77,25,SEA,NBA,PF,25,NA,643,8,18.3,0.435,4.1,5.5,0.756,1.6,5.9,7.5,3.8,1.9,0.9,5.9,20.1,NA,NA,99
1976-77,25,WSB,NBA,PF,58,NA,996,6.6,15,0.436,2.7,3.6,0.738,2.8,5.7,8.5,3.1,1.4,0.8,8.6,15.8,NA,NA,99
Career,NA,,NBA,,224,NA,6058,7.7,16.3,0.469,2.6,3.5,0.739,2.4,6.3,8.7,3.6,1.5,0.7,6.1,17.9,NA,NA,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SEA,NBA,,166,NA,5062,7.9,16.6,0.475,2.6,3.5,0.739,2.4,6.4,8.7,3.7,1.5,0.6,5.7,18.3,NA,NA,99
1 season,NA,WSB,NBA,,58,NA,996,6.6,15,0.436,2.7,3.6,0.738,2.8,5.7,8.5,3.1,1.4,0.8,8.6,15.8,NA,NA,99
