Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Leonard Gray,,4.1,4,1.8,NA,NA
Wally Osterkorn,85.9,4.3,4,1.4,-0.8,NA
Dāvis Bertāns,84.9,4,3.1,2.3,NA,NA
Jaylen Brown,83.0,4.5,3,1.5,NA,NA
Sam Smith,82.4,4.6,3.3,1.4,0.2,NA
Kristaps Porziņģis,81.3,4.5,4.4,3.2,NA,NA
Zeke Zawoluk,80.6,3.9,2.5,1.7,NA,NA
Leon Powe,80.2,4.9,4.3,1.7,0.6,0.5
Bill Garnett,79.2,3.9,3.5,2,1.5,NA
Travis Grant,78.5,5.6,4.1,1.5,0.5,NA
Collis Jones,78.2,4.2,3.2,2.1,1.2,NA
