Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Leonard Gray,,4.1,4,1.8
Mike O'Koren,97.1,4.1,3.8,2
Andrew Wiggins,96.1,4.2,4.1,2.1
Alvin Scott,95.5,4.4,4,1.7
Matt Bonner,94.7,4.2,4.1,2.2
Loy Vaught,93.8,4.2,4.1,2.2
Wally Osterkorn,93.5,4.3,4,1.4
Bob Boozer,92.3,3.9,3.9,1.4
Junior Bridgeman,92.0,4,3.6,2.1
Eduardo Nájera,91.3,4,4,1.1
Danny Fortson,90.9,4.4,3.5,1.9
