Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jamal Murray,,5.5,5.1,1.3,NA,NA
Jim Spanarkel,92.0,5.5,5.2,1,0.4,0.2
Tomáš Satoranský,84.8,5,4.7,0.6,NA,NA
Spencer Dinwiddie,84.7,5.7,4.8,2.8,0.1,0.1
Joe Harris,83.7,5.5,4,0.8,0.2,0
Terry Rozier,79.3,5.6,3.2,1.4,-0.3,NA
Stephen Chubin,77.3,6.9,4,1.7,NA,NA
Delon Wright,76.8,4.5,4.3,1.1,0.6,NA
Josh Richardson,75.4,5.6,5.4,2.5,2.2,NA
Bruce Hale,75.2,5.1,4.4,-0.4,NA,NA
Buddy Hield,75.2,5.9,2.8,1.3,NA,NA
