Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
James Harden,,16.4,15.4,15.2,15,13.3,12.8,12.8,9.3,7.1,4.5
Jerry West,92.7,17.1,16.7,15.2,14,12.9,11.7,10.8,9.6,8.1,6.6
John Stockton,90.8,15.6,14.4,14.1,14,13.4,13.2,10.6,6.7,5.9,3.1
Chris Paul,90.2,18.3,17.8,16.1,13.9,13.9,12.7,12.2,10.4,8.8,7.3
Walt Frazier,89.7,15.6,15,14.5,13,12.7,10.9,10.8,6.8,6.1,3.5
Magic Johnson,88.7,16.1,15.9,12.9,12.7,12.5,12.1,10.9,10.5,10.2,6.4
Stephen Curry,82.1,17.9,15.7,13.4,12.6,11.2,9.7,9.1,6.6,4.7,2.2
Dwyane Wade,81.5,14.7,14.4,13,12.8,11,9.6,8.8,7.7,4.6,3.3
Reggie Miller,80.7,12.5,12.3,12.1,11.7,11.4,11.3,11,10.3,6.5,4.2
Kobe Bryant,79.4,15.3,14.9,12.7,11.3,10.7,10.6,8.1,6.3,5.2,1.8
Oscar Robertson,78.6,20.6,17.4,17,16.9,16.8,15.6,13.2,12.9,12.3,11.4
