,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,27,TOT,BAA,,9,,9,13,,,,19
1948-49,27,INJ,BAA,,9,,9,12,,,,19
1948-49,27,FTW,BAA,,5,,7,13,,,,14
1949-50,28,TOT,NBA,,10,,9,11,,,,24
1949-50,28,FTW,NBA,,10,,9,11,,,,24
1949-50,28,AND,NBA,,8,,8,11,,,,18
1951-52,30,MLH,NBA,,3,,2,5,,,6,8
Career,,,TOT,,10,,9,13,,,,24
,,,NBA,,10,,9,11,,,,24
,,,BAA,,9,,9,13,,,,19
,,,,,,,,,,,,
2 Seasons,,FTW,NBA,,10,,9,13,,,,24
1 Season,,INJ,BAA,,9,,9,12,,,,19
1 Season,,AND,NBA,,8,,8,11,,,,18
1 Season,,MLH,NBA,,3,,2,5,,,6,8
