Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Charlie Black,,2.8,1.8,-0.4,NA,NA,NA,NA
Brandon Ingram,94.7,2.8,2,-0.3,NA,NA,NA,NA
Juan Hernangómez,82.7,3,1.8,0.4,NA,NA,NA,NA
Cheick Diallo,77.7,2.6,1.9,0.5,NA,NA,NA,NA
Jim Palmer,76.3,2.4,1.9,0.2,NA,NA,NA,NA
Paul Graham,73.1,3.6,1.9,0.2,NA,NA,NA,NA
Dorian Finney-Smith,71.6,3.3,1.4,0.1,NA,NA,NA,NA
Dave Sorenson,70.9,2.6,2.1,0.7,NA,NA,NA,NA
Carey Scurry,69.6,2.6,1.8,0.9,NA,NA,NA,NA
Stanislav Medvedenko,68.5,3,1.8,0.5,0.4,0.2,0.1,0
Al Eberhard,67.1,2.6,1.8,0.9,0,NA,NA,NA
