Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mark Davis,,2.3,0.2,-0.1,-0.1,-0.1
Danuel House,77.4,2.3,0.6,0,NA,NA
Ticky Burden,76.0,2.6,0,0,NA,NA
Troy Hudson,75.2,2.5,0.5,0.1,0,-0.2
Travis Mays,74.5,2.1,0.3,0,NA,NA
Jannero Pargo,74.1,2,0.2,0.1,0.1,-0.1
Cliff Barker,73.5,2.2,0.1,-0.2,NA,NA
John Kuester,67.2,1.9,0.1,0,NA,NA
Stephen Vacendak,64.4,2.2,0.1,-0.4,NA,NA
Jerry Harkness,63.2,2.9,0.5,0,NA,NA
Jerry Eaves,61.6,2,0.7,0,-0.1,NA
