Season,Team,Lg,Salary
1984-85,Milwaukee Bucks,NBA,"$120,000"
1985-86,Cleveland Cavaliers,NBA,"$150,000"
1987-88,Phoenix Suns,NBA,"$412,000"
1988-89,Phoenix Suns,NBA,"$412,000"
1990-91,Phoenix Suns,NBA,"$875,000"
1991-92,Phoenix Suns,NBA,"$975,000"
1992-93,Phoenix Suns,NBA,"$1,000,000"
1993-94,Phoenix Suns,NBA,"$1,000,000"
1994-95,Detroit Pistons,NBA,"$1,500,000"
1995-96,Detroit Pistons,NBA,"$1,500,000"
1996-97,Cleveland Cavaliers,NBA,"$2,000,000"
1997-98,Indiana Pacers,NBA,"$650,000"
1998-99,Atlanta Hawks,NBA,"$1,000,000"
1999-00,Phoenix Suns,NBA,"$510,000"
Career,(may be incomplete),,"$12,104,000"
