Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Fred Schaus,,8.5,8.4,6.8,4,3.7
Shareef Abdur-Rahim,94.0,8.8,8.5,6.9,4.6,2.9
Otis Thorpe,93.4,9,8.7,8.1,4,3.8
John Havlicek,92.7,8.3,7.7,6.4,4.5,4.3
Jamaal Wilkes,91.2,8.3,7.3,6.9,5.1,3.3
Charles Smith,90.9,9.4,7.4,6.6,4.4,4
Jack Marin,90.3,8.5,8.3,7.5,5.4,2.5
Josh Howard,90.0,8.8,8,6.7,6.4,3.5
Scott Wedman,89.7,8.6,7.8,6,4.9,4.8
Dan Roundfield,89.2,9.1,8.7,6.9,3.9,1.3
Chris Webber,89.1,9.3,8.3,7.8,4,1.9
