Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1949-50,24,FTW,NBA,,68,NA,NA,0.426,0.331,NA,NA,NA,NA,NA,4,4.3,8.4,NA
1950-51,25,FTW,NBA,,68,NA,NA,0.454,0.527,NA,NA,NA,NA,NA,5.1,3.4,8.5,NA
1951-52,26,FTW,NBA,SF,62,2581,16.4,0.463,0.478,NA,NA,NA,NA,NA,4.5,2.3,6.8,0.127
1952-53,27,FTW,NBA,SF,69,2541,13.2,0.426,0.412,NA,NA,NA,NA,NA,1.3,2.7,4,0.076
1953-54,28,TOT,NBA,SF,67,1515,14.3,0.474,0.47,NA,NA,NA,NA,NA,2.6,1.1,3.7,0.118
1953-54,28,FTW,NBA,,23,272,16.5,0.518,0.794,NA,NA,NA,NA,NA,0.8,0.3,1,0.185
1953-54,28,NYK,NBA,SF,44,1243,13.8,0.465,0.412,NA,NA,NA,NA,NA,1.9,0.8,2.7,0.103
Career,NA,,NBA,,334,6637,14.7,0.446,0.438,NA,NA,NA,NA,NA,17.6,13.8,31.4,0.105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,FTW,NBA,,290,5394,14.9,0.444,0.441,NA,NA,NA,NA,NA,15.7,13,28.7,0.106
1 season,NA,NYK,NBA,,44,1243,13.8,0.465,0.412,NA,NA,NA,NA,NA,1.9,0.8,2.7,0.103
