Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Fred Schaus,,8.5,8.4,6.8,4,3.7,NA,NA,NA,NA,NA
Otto Porter,86.9,9.4,8.1,5.6,3.2,2.7,0,NA,NA,NA,NA
Chandler Parsons,82.4,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA
Trooper Washington,81.0,8.3,6.9,6.3,6,3.4,2.2,NA,NA,NA,NA
Kermit Washington,80.3,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1
Bob Kauffman,79.7,8,7.9,7.9,3.1,2,1.4,1.2,NA,NA,NA
John Beasley,79.4,8.9,8.1,8,6.8,3.3,2,0.8,NA,NA,NA
Arnie Johnson,79.3,9.1,8.7,7.5,7.2,6.7,NA,NA,NA,NA,NA
Josh Howard,79.1,8.8,8,6.7,6.4,3.5,3.2,1,0.5,0,-0.2
Goose Ligon,77.8,9.9,9.7,6.5,6.3,2.4,1,0.3,NA,NA,NA
John Shumate,76.9,7.7,6.5,6.3,3.5,0.5,NA,NA,NA,NA,NA
