Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Norman Powell,,2.8,2.4,1.6,0.6
Larry Hughes,91.8,2.4,2.4,1.7,0.6
Greg Minor,90.4,3,2.1,1.7,0.6
Henry Bibby,90.3,2.9,2.3,1.5,1
John Battle,88.9,3.2,2.3,1.5,1
Jerryd Bayless,88.2,2.7,2,1.6,0.3
Haywoode Workman,88.2,2.8,2.5,1.9,0.1
Rick Adelman,88.1,3.4,2.2,1.6,0.7
Tony Snell,87.7,3.4,2.4,1.6,0.4
Jerian Grant,87.6,3.3,2.5,1.7,0.8
Steve Kerr,87.5,3.2,2.4,1.3,0.4
