Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Norman Powell,,2.8,2.4,1.6,0.6,NA,NA,NA,NA
Jerian Grant,87.6,3.3,2.5,1.7,0.8,NA,NA,NA,NA
Mike Butler,86.6,3.1,2.3,1.6,0.1,NA,NA,NA,NA
Dennis Hopson,84.6,3.1,2.1,1.7,0.5,-0.3,NA,NA,NA
Hollis Thompson,84.3,2.6,2,1.2,0.7,NA,NA,NA,NA
Freddie Crawford,83.3,2.7,2.2,1.6,-0.2,-0.3,NA,NA,NA
Lorenzo Romar,82.8,2.7,2.6,2.4,0.5,-0.1,NA,NA,NA
Greg Minor,82.3,3,2.1,1.7,0.8,0.6,NA,NA,NA
Louie Nelson,82.2,2.9,2.3,1.1,0,0,NA,NA,NA
Eldridge Recasner,81.9,2.9,2.6,2.5,0.8,0.1,0,0,0
Dick Garrett,81.4,2.4,2.3,1.6,0.1,-0.2,NA,NA,NA
