Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1955-56,23,STL,NBA,C,8,274,21.5,0.482,0.547,NA,NA,NA,13.9,NA,0.6,0,0.6,0.108
1956-57,24,STL,NBA,C,10,430,25.1,0.504,0.561,NA,NA,NA,10.6,NA,1.5,0.2,1.7,0.186
1957-58,25,STL,NBA,PF,11,430,22.6,0.472,0.513,NA,NA,NA,7.8,NA,1,0.2,1.2,0.134
1958-59,26,STL,NBA,PF,6,257,22.9,0.504,0.474,NA,NA,NA,9.5,NA,0.7,0.3,1,0.188
1959-60,27,STL,NBA,PF,14,576,23.4,0.515,0.486,NA,NA,NA,15.1,NA,1.9,0.2,2.1,0.172
1960-61,28,STL,NBA,PF,12,526,22.3,0.494,0.507,NA,NA,NA,10.8,NA,1.2,0.5,1.7,0.159
1962-63,30,STL,NBA,PF,11,463,26.1,0.543,0.556,NA,NA,NA,11.4,NA,1.5,0.8,2.3,0.244
1963-64,31,STL,NBA,PF,12,494,18.3,0.483,0.35,NA,NA,NA,10.4,NA,0.7,0.2,0.9,0.088
1964-65,32,STL,NBA,PF,4,95,15.3,0.462,0.488,NA,NA,NA,12,NA,0,0.2,0.2,0.097
Career,NA,,NBA,,88,3545,22.6,0.501,0.499,NA,NA,NA,11.3,NA,9.2,2.6,11.7,0.159
