,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1954-55,22,MLH,NBA,,13,,16,,,,6,36
1955-56,23,STL,NBA,,17,,18,20,,,6,46
1956-57,24,STL,NBA,,18,,19,21,,,6,49
1957-58,25,STL,NBA,,18,,17,21,,,6,51
1958-59,26,STL,NBA,,20,,16,25,,,,52
1959-60,27,STL,NBA,,18,,17,20,,,,41
1960-61,28,STL,NBA,,25,,18,,31,,,57
1961-62,29,STL,NBA,,22,,19,,31,,,51
1962-63,30,STL,NBA,,16,,18,,,,,45
1963-64,31,STL,NBA,,20,,18,19,,,,52
1964-65,32,STL,NBA,,13,31,13,18,23,,,37
Career,,,,,25,,19,,,,,57
