Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Delonte West,,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9
John Salmons,91.2,7.1,5.6,3.7,3.6,2.1,1.7,1.4,0.6
Lester Conner,90.1,6.2,5.9,3.7,2.8,2.7,2.1,0.7,0.5
Quentin Richardson,89.9,5.8,5.6,3.5,3,2.4,1,0.7,0.3
Raja Bell,88.9,6.8,5.8,4.5,3.7,2.2,1.7,1.1,-0.1
Nate Robinson,87.3,5.9,5.9,3.2,3.2,2.8,2.2,1.5,1.1
Derek Fisher,86.9,5.5,5.2,3.8,3.1,2.4,1.8,1.7,1.1
Gerald Henderson,86.3,6.2,5.3,3.7,3.6,2.9,2.3,1.7,1.3
Voshon Lenard,86.3,7.1,6.8,3.5,3,2.4,1.7,0.9,0.3
Craig Hodges,86.2,6,5.3,4.3,2.9,2.6,2.4,0.8,0.5
Eddie Miles,86.0,6,5.9,4,3.7,2.4,2,1.2,-0.9
