Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Delonte West,,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA
Martell Webster,89.7,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0,0
Eddie Miles,86.3,6,5.9,4,3.7,2.4,2,1.2,0,-0.9,NA
Anthony Parker,85.5,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0,NA
Larry Drew,84.6,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0
Darwin Cook,84.3,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA
Willie Anderson,84.2,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1,NA
Ron Williams,83.9,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA,NA
George Senesky,83.5,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA
Isaiah Rider,83.3,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2,NA
Fred Hoiberg,83.2,6.1,5.9,5.2,2.7,2.3,2.1,1.8,1.3,0.2,0
