,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,PTP,ABA,,14,,1,,,,12,17,,,,,,,,,35
1970-71,23,PTC,ABA,,16,,2,,,,10,14,,,,,,,,,36
1971-72,24,PTC,ABA,,17,,4,,,,14,17,,,,,,,,,45
1972-73,25,MMT,ABA,,16,,2,,,,24,29,,,,,,,,,37
1973-74,26,MMT,ABA,,15,,3,,,,17,19,,,,,,,,,36
1974-75,27,MIL,NBA,,12,,,,,,8,11,,,,,,,,,24
Career,,,TOT,,17,,,,,,24,29,,,,,,,,,45
,,,NBA,,12,,,,,,8,11,,,,,,,,,24
,,,ABA,,17,,4,,,,24,29,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,"PTC,PTP",ABA,,17,,4,,,,14,17,,,,,,,,,45
2 Seasons,,MMT,ABA,,16,,3,,,,24,29,,,,,,,,,37
1 Season,,MIL,NBA,,12,,,,,,8,11,,,,,,,,,24
