Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
George Thompson,,7.7,6.7,6.5,5.6,2.7,1.8
Nick Van Exel,93.0,7.2,7.1,6.4,5.7,3.4,2.2
Clem Haskins,92.3,6.8,6.4,6.1,5.3,2.9,1.6
Reggie Theus,91.7,9.2,6.9,6.5,5.3,3.2,1.8
Dick Barnett,90.9,8,8,6.5,5.8,3.4,2.2
John Starks,90.9,7.5,6.4,6.2,5.8,2.4,0
CJ McCollum,90.8,7.6,6.6,6,5.6,1.8,0.2
Phil Smith,89.5,9.4,7,6.3,5.2,2.9,2.2
Randy Smith,89.2,9.4,7.2,6.4,5.7,3,2.2
Danny Ainge,89.1,6.8,6.7,6.6,5.2,1.8,0.5
Eddie Johnson,89.0,8.2,6.9,6.3,4.8,3.5,3
