Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
George Thompson,,7.7,6.7,6.5,5.6,2.7,1.8,NA,NA,NA,NA
CJ McCollum,90.8,7.6,6.6,6,5.6,1.8,0.2,NA,NA,NA,NA
Glen Combs,86.2,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA
Ralph Simpson,85.2,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.1,-0.2,-0.2
George King,85.0,8.1,6.4,6.3,3.8,3.8,3,NA,NA,NA,NA
Micheal Ray Richardson,84.9,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA
Ronnie Brewer,84.5,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA
Andrew Toney,84.0,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA,NA
Johnny Moore,83.2,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA
Josh Childress,82.6,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA,NA
Scott Skiles,80.4,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2
