Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,23,DNR,ABA,PF,77,NA,1819,7.9,18.9,0.417,0.5,1.6,0.329,7.4,17.3,0.426,2.3,3,0.775,2.9,4.3,7.2,0.9,NA,2,4.5,18.6
1969-70,24,DNR,ABA,PF,74,NA,1302,5.9,14.8,0.402,0.3,1.4,0.22,5.6,13.4,0.421,2.1,2.7,0.768,2.9,4,7,1.1,NA,2.1,5,14.3
1971-72,26,FLO,ABA,PF,6,NA,28,3.9,20.6,0.188,0,0,NA,3.9,20.6,0.188,0,0,NA,1.3,1.3,2.6,2.6,NA,3.9,2.6,7.7
Career,NA,,ABA,,157,NA,3149,7.1,17.2,0.409,0.4,1.5,0.288,6.6,15.7,0.421,2.2,2.9,0.772,2.9,4.1,7.1,1,NA,2,4.7,16.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DNR,ABA,,151,NA,3121,7.1,17.2,0.412,0.4,1.5,0.288,6.6,15.7,0.424,2.2,2.9,0.772,2.9,4.2,7.1,1,NA,2,4.7,16.8
1 season,NA,FLO,ABA,,6,NA,28,3.9,20.6,0.188,0,0,NA,3.9,20.6,0.188,0,0,NA,1.3,1.3,2.6,2.6,NA,3.9,2.6,7.7
