Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Walter Piatkowski,,1.2,0.8,-0.2,NA
Dennis Wuycik,80.4,1.4,0.9,-0.1,NA
James Wilkes,76.4,1.1,0.8,0.1,NA
Kevin Loder,71.7,1.5,0.9,0.1,NA
Lou Tsioropoulos,70.6,1.4,0.7,0,NA
Brian Rowsom,70.3,1.5,1,0,NA
Alec Kessler,69.2,1.2,0.8,0.1,-0.1
Dontonio Wingfield,68.2,0.9,0.9,0,-0.1
Darnell Jackson,66.1,0.8,0.7,-0.3,NA
Marquese Chriss,64.2,1.8,0.7,-0.2,NA
Jeffery Taylor,64.1,1.2,0.3,-0.2,NA
