,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,23,DNR,ABA,,13,,3,,,,5,7,,,,,,,,30
1969-70,24,DNR,ABA,,11,,1,,,,5,7,,,,,,,,24
1971-72,26,FLO,ABA,,2,,0,,,,0,0,,,,,,,,4
Career,,,,,13,,3,,,,5,7,,,,,,,,30
2 Seasons,,DNR,ABA,,13,,3,,,,5,7,,,,,,,,30
1 Season,,FLO,ABA,,2,,0,,,,0,0,,,,,,,,4
