Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ike Diogu,,2.6,1.5,1,0.7,0.7,0
Rory White,90.4,2.6,1.5,1,1,0.4,NA
Charles Shackleford,87.2,2.7,1.5,0.9,0.8,0.8,0.7
George Lee,85.4,2.6,1.7,1.2,0.6,0.4,0.1
Scott Hastings,80.2,2.1,1.3,1,0.8,0.4,0.1
Lou Amundson,79.9,2.9,1.8,1,0.6,0.1,0.1
Jeremy Evans,79.5,2.8,1.6,1.3,0.9,0.9,0.6
Jeff Ayres,78.9,2.4,1.3,1.2,1,0.3,0.2
Mark Madsen,78.8,2.7,1.9,1.1,1.1,0.8,0.6
Charles Davis,78.6,2.1,1.5,1,0.9,0.3,-0.3
Dave Piontek,78.6,3.7,1.4,1.1,0.8,0.5,-0.1
