,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,19,ATL,NBA,SF,74,2050,,25%,61%,15%,,-9.0,+3.4,79,37,91,7,106,0,262,29,35
2005-06,20,ATL,NBA,SF,80,2559,,2%,81%,17%,,-6.1,-1.9,87,42,161,16,125,28,428,24,33
2006-07,21,ATL,NBA,SF,72,2647,,5%,65%,30%,,-4.0,+4.0,92,60,128,32,185,25,529,47,52
2007-08,22,ATL,NBA,PF,81,2873,,,1%,92%,7%,-0.6,+5.5,119,67,163,27,233,40,608,65,68
2008-09,23,ATL,NBA,PF,69,2421,,,1%,94%,6%,+3.4,+3.9,66,58,88,14,172,29,396,41,49
2009-10,24,ATL,NBA,PF,81,2871,,,1%,99%,1%,+7.1,+7.3,104,55,144,22,219,26,792,66,63
2010-11,25,ATL,NBA,PF,77,2645,,,20%,76%,4%,+1.9,+8.5,121,50,121,15,150,13,577,37,43
2011-12,26,ATL,NBA,PF,66,2329,,,,76%,24%,+6.2,+8.6,97,45,96,12,159,6,597,49,44
2012-13,27,ATL,NBA,PF,76,2683,,,13%,77%,10%,+1.4,+2.9,125,66,81,18,160,16,761,48,39
2013-14,28,DET,NBA,SF,77,2730,,,56%,43%,,-3.8,+0.8,104,76,99,11,137,16,574,43,39
2014-15,29,TOT,NBA,PF,83,2300,,,8%,85%,7%,+0.3,-1.2,123,54,110,16,94,8,671,18,48
2014-15,29,DET,NBA,PF,28,896,,,20%,80%,,-11.6,-13.2,41,23,37,5,45,2,317,9,19
2014-15,29,HOU,NBA,PF,55,1404,,,,88%,12%,+7.5,+6.1,82,31,73,11,49,6,354,9,29
2015-16,30,TOT,NBA,PF,55,880,,,,60%,40%,-4.0,-7.0,46,16,58,6,26,5,205,1,15
2015-16,30,LAC,NBA,PF,32,459,,,,37%,63%,-9.0,-15.1,26,7,28,3,15,5,91,0,10
2015-16,30,HOU,NBA,PF,23,421,,,,85%,15%,+1.1,+1.1,20,9,30,3,11,0,114,1,5
2017-18,32,NOP,NBA,PF,3,12,,,,41%,60%,-28.9,-30.8,0,0,1,0,0,0,0,0,0
Career,,,NBA,,894,29000,,2%,27%,65%,6%,-0.3,+3.5,1163,626,1341,196,1766,212,6400,468,528
,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,ATL,NBA,,676,23078,,3%,26%,65%,6%,+0.2,+4.7,890,480,1073,163,1509,183,4950,406,426
2 seasons,,DET,NBA,,105,3626,,,47%,52%,,-5.7,-2.7,145,99,136,16,182,18,891,52,58
2 seasons,,HOU,NBA,,78,1825,,,,87%,13%,+6.0,+5.0,102,40,103,14,60,6,468,10,34
1 season,,LAC,NBA,,32,459,,,,37%,63%,-9.0,-15.1,26,7,28,3,15,5,91,0,10
1 season,,NOP,NBA,,3,12,,,,41%,60%,-28.9,-30.8,0,0,1,0,0,0,0,0,0
