Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bob McCann,,1.3,0.6,0.1,0.1,0
Lou Tsioropoulos,83.3,1.4,0.7,0,NA,NA
Joe Holland,81.9,1.2,0.6,0.2,NA,NA
Viktor Khryapa,79.5,1.3,0.4,0.3,0,NA
Chris Singleton,79.0,1.5,0.5,0.2,NA,NA
Ben McDonald,78.8,1.3,0.7,0.3,0.2,NA
Mario Bennett,78.1,1.5,0.5,0,-0.1,NA
Kevin Loder,78.1,1.5,0.9,0.1,NA,NA
Adrian Branch,76.7,1.5,0.7,0,-0.1,NA
Patrick McFarland,76.7,1.3,0.7,0.4,NA,NA
Alec Kessler,74.7,1.2,0.8,0.1,-0.1,NA
