Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Lorenzo Brown,,0.3,0.2,-0.1,-0.2,-0.3
Russ Lee,-98.1,0.3,0.2,0,NA,NA
Corey Beck,-98.3,0.4,0.2,-0.1,NA,NA
Rusty LaRue,-98.5,0.3,0.3,0.1,-0.1,NA
Drew Barry,-98.6,0.3,0.2,0.1,NA,NA
Briante Weber,-98.6,0.4,0.3,0,NA,NA
Lance Blanks,-98.7,0.4,0.2,0.1,NA,NA
Doug Lee,-98.8,0.4,0.4,0,NA,NA
Delaney Rudd,-98.8,0.6,0.3,0.1,-0.3,NA
James White,-98.8,0.5,0.3,0,NA,NA
Elliot Williams,-98.8,0.3,0.3,0.1,0,NA
