Thru 15 Years,Thru 15 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Derrick Coleman,,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2,1.2,0.8,-0.1,-0.2
Serge Ibaka,90.1,9.6,9.4,7.6,6.2,6.1,5.6,5.5,5.1,5.1,3.7,NA,NA,NA,NA,NA
Steve Mix,89.5,9.4,8.2,6.5,5.5,5.5,5.1,5.1,4.9,3.7,2.4,1.3,0.4,-0.3,NA,NA
Luol Deng,88.5,11.3,9.9,6.5,6.4,6.3,5.9,5.8,5.4,4.5,4.4,3,3,0.9,0.8,0
Antonio McDyess,88.4,9.4,7.8,6.7,6.2,6,5.7,5.6,4.6,4.2,3.6,3.2,3,1.8,1.2,0.8
Jermaine O'Neal,88.1,10.5,9,6.4,6.4,5.6,4.9,4.7,3.8,2.6,2.1,1.2,0.9,0.8,0.8,0.6
Christian Laettner,87.9,11.6,7.5,6.6,6.2,6.2,5.1,5,4.3,4.1,2.7,2.6,2.3,0.7,NA,NA
Donyell Marshall,87.9,10.4,8.5,6,6,5,4.2,4.2,3.8,3.8,3,1.3,1.3,0.8,0.3,0.3
Mark Aguirre,86.5,9,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,2.2,1.9,1.8,0.9,NA,NA
Tyrone Hill,86.2,9.9,6.9,5.7,5.7,5.5,4.9,4.8,4.5,2.2,2.1,1.9,1.4,0.6,0.1,NA
Hot Rod Williams,86.1,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,NA,NA
