Season,Team,Lg,Salary
1990-91,New Jersey Nets,NBA,"$2,100,000"
1991-92,New Jersey Nets,NBA,"$2,300,000"
1992-93,New Jersey Nets,NBA,"$2,870,000"
1993-94,New Jersey Nets,NBA,"$3,440,000"
1994-95,New Jersey Nets,NBA,"$4,212,000"
1995-96,Philadelphia 76ers,NBA,"$5,476,000"
1996-97,Philadelphia 76ers,NBA,"$6,739,000"
1997-98,Philadelphia 76ers,NBA,"$8,002,800"
1998-99,Charlotte Hornets,NBA,"$6,667,000"
1998-99,Philadelphia 76ers,NBA,"$5,600,000"
1999-00,Charlotte Hornets,NBA,"$7,370,000"
2000-01,Charlotte Hornets,NBA,"$8,000,000"
2001-02,Philadelphia 76ers,NBA,"$8,710,000"
2002-03,Philadelphia 76ers,NBA,"$9,380,000"
2003-04,Philadelphia 76ers,NBA,"$4,000,000"
2004-05,Detroit Pistons,NBA,"$4,500,000"
2005-06,Detroit Pistons,NBA,"$2,000,000"
Career,(may be incomplete),,"$91,366,800"
