Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Anthony Davis,,14,13.7,11,10.4,9.5,7.2,6.1
Elton Brand,94.1,14.8,13.6,10.6,9.7,7.6,7.5,6.1
Elgin Baylor,93.0,14.8,14.4,11.5,9.8,7.9,7.2,4.9
Bailey Howell,92.5,14,11.7,10.9,10.7,9.8,8.7,7.6
Vern Mikkelsen,91.8,13.2,12,10.9,9.2,8.9,6.6,5.4
Adrian Dantley,91.4,13.6,12.6,12.2,10.5,9.8,5.7,4.3
Rick Barry,89.9,14.4,11.1,10.4,10.2,8.5,8.1,7.8
Marques Johnson,89.9,12.2,11.5,11.2,10.7,10.6,8.6,6.2
Shawn Marion,89.7,14.6,13,12.5,11.7,9.8,9.1,4.1
Kevin McHale,89.7,14.8,11,11,10.5,7.5,7.5,4.7
Paul Pierce,89.4,12.9,11.2,10.4,10.1,8.2,7.1,4.9
