Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Anthony Davis,,14,13.7,11,10.4,9.5,7.2,6.1,NA,NA,NA,NA,NA,NA,NA
Kawhi Leonard,89.5,13.7,13.6,9.5,8.6,7.7,6.2,5.5,0.9,NA,NA,NA,NA,NA,NA
Jimmy Butler,86.3,13.8,11.2,9.1,8.9,7.9,7.1,7,1.1,NA,NA,NA,NA,NA,NA
Roger Brown,85.4,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8,NA,NA,NA,NA,NA,NA
Paul George,83.3,11.9,10.8,9.2,9,8.9,7.1,6,2.4,0,NA,NA,NA,NA,NA
Marques Johnson,81.8,12.2,11.5,11.2,10.7,10.6,8.6,6.2,5.9,2.7,0.1,0,NA,NA,NA
Connie Hawkins,81.2,17.9,11.3,10.2,9.6,8.6,7.5,7.1,3.5,1.1,NA,NA,NA,NA,NA
George Yardley,79.1,12.3,10,9,7.6,7.5,6.8,5.3,NA,NA,NA,NA,NA,NA,NA
Kevin Love,78.1,14.3,11.4,10,8.7,8.5,6.4,6.4,5.3,4.9,1.3,1.1,NA,NA,NA
Vern Mikkelsen,78.1,13.2,12,10.9,9.2,8.9,6.6,6.5,6.1,5.4,4.5,NA,NA,NA,NA
Amar'e Stoudemire,77.7,14.6,14.6,11.2,10.7,8,6.2,6.1,4.4,4.1,3.8,3.6,2.7,2.4,0.1
