Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Kevin Kunnert,,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0
JaVale McGee,92.3,5.3,4.9,4.1,3.5,2.1,2,1.1,0.4,-0.1
Ömer Aşık,87.8,5.5,5,2.7,2.6,2.4,1.7,1,-0.1,NA
Coby Dietrick,87.6,4.5,4.4,4.1,3,2.5,2.3,0.3,0.1,0
Will Perdue,87.2,4.7,4.4,3.4,2.5,2.5,2.3,0.5,0.2,-0.1
Randy Breuer,86.8,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3
Chris Andersen,86.5,5.9,5.4,4.5,3.2,2.4,1.3,1.1,0.3,0
Nazr Mohammed,85.6,4.6,4.5,3.7,3.3,2.5,2.3,0.4,0,-0.1
Jim Davis,85.4,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,NA
John Henson,85.2,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA,NA
Mel Counts,85.0,5,4.3,4.2,2.9,2.7,1.9,1.5,1.5,1
