Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Eric Leckner,,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1
John Lambert,86.0,1.8,1.5,1,0.9,0.7,0.6,0.4,NA
Aaron Gray,80.4,1.4,1.3,1.1,0.9,0.8,0.5,0.1,NA
Walt Davis,72.4,1.6,0.9,0.9,0.8,0.6,NA,NA,NA
Ryan Hollins,71.9,1.8,1.7,1.3,1.2,1.1,1,0.2,0.2
Calvin Booth,70.9,2.2,2.1,1,0.8,0.6,0.5,0.4,0.1
Jelani McCoy,70.9,1.5,1.4,1.1,1,0.1,0,0,0
Rickey Brown,69.5,1.8,0.9,0.9,0.7,0.4,NA,NA,NA
Johan Petro,69.5,1.7,1,0.8,0.7,0.4,0.4,0.4,0.2
Luther Rackley,67.1,1.9,1.8,1.3,0.8,0.1,NA,NA,NA
Predrag Drobnjak,63.0,2.4,1.6,1,0.7,NA,NA,NA,NA
