Season,Team,Lg,Salary
2010-11,Cleveland Cavaliers,NBA,"$500,000"
2011-12,Cleveland Cavaliers,NBA,"$762,195"
2012-13,Cleveland Cavaliers,NBA,"$341,756"
Career,(may be incomplete),,"$1,603,951"
